,year,title_status,drive,condition
1592,2011.0,0,1,0
1601,2008.0,0,0,2
1604,2012.0,0,0,0
1605,2018.0,0,0,3
1611,2006.0,0,0,2
1623,2012.0,0,0,0
1629,2010.0,0,0,2
1632,2017.0,0,0,0
1635,2014.0,0,0,0
1636,2004.0,0,0,0
1704,2011.0,0,0,2
1715,2013.0,0,1,2
1720,2019.0,0,1,0
1721,2019.0,0,1,0
1722,2014.0,0,0,0
1723,2009.0,0,0,0
1724,2019.0,0,1,0
1725,2019.0,0,1,0
1726,2010.0,0,1,0
1727,2016.0,0,0,0
1729,2016.0,0,1,0
1730,2016.0,0,0,0
1731,2016.0,0,0,0
1732,2015.0,0,0,0
1733,2018.0,0,1,0
1734,2019.0,0,0,0
1735,2018.0,0,1,0
1736,2017.0,0,2,0
1738,2015.0,0,1,0
1739,2019.0,0,0,0
1740,2017.0,0,0,0
1741,2014.0,0,2,0
1742,2019.0,0,0,0
1743,2016.0,0,0,0
1745,2016.0,0,0,0
1746,2016.0,0,0,0
1748,2013.0,0,0,0
1750,2016.0,0,0,0
1752,2016.0,0,0,0
1753,2018.0,0,1,0
1754,2016.0,0,0,0
1755,2018.0,0,1,0
1756,2019.0,0,1,0
1757,2013.0,0,1,0
1759,2013.0,0,0,0
1760,2019.0,0,1,0
1761,2016.0,0,0,0
1764,2015.0,0,0,0
1765,2016.0,0,0,0
1766,2017.0,0,0,0
1767,2014.0,0,0,0
1769,2014.0,0,0,0
1770,2012.0,0,1,0
1771,2016.0,0,0,0
1774,2014.0,0,2,0
1775,2013.0,0,1,0
1776,2014.0,0,0,0
1777,2016.0,0,1,0
1778,2011.0,0,0,0
1779,2007.0,0,0,0
1780,2006.0,0,0,0
1781,2010.0,0,0,0
1782,2017.0,0,1,0
1783,2016.0,0,0,0
1784,2016.0,0,0,0
1785,2016.0,0,1,0
1787,2019.0,0,0,0
1789,2016.0,0,1,0
1790,2012.0,0,0,0
1791,2017.0,0,0,0
1793,2009.0,0,0,0
1823,2012.0,0,1,2
1827,2010.0,0,0,0
1830,2014.0,0,1,2
1837,2008.0,0,0,2
1892,2014.0,0,1,2
1912,2009.0,0,0,2
1949,2014.0,0,1,2
1967,2007.0,0,1,2
1968,2013.0,0,0,2
1971,2009.0,0,1,2
1972,2008.0,0,0,2
1973,2012.0,0,0,2
1977,2010.0,0,2,2
1979,2001.0,0,0,2
1980,2006.0,0,0,2
1983,2011.0,0,0,2
1984,2001.0,0,0,2
1986,2011.0,0,0,2
1988,2015.0,0,0,2
1989,2006.0,0,2,2
1990,2011.0,0,0,2
1991,2006.0,0,2,2
1992,2006.0,0,2,2
1995,2012.0,0,2,2
1996,2012.0,0,2,2
1997,2012.0,0,2,2
1999,2008.0,0,2,2
2000,2016.0,0,2,2
2002,2010.0,0,0,2
2004,2008.0,0,0,2
2007,2012.0,0,0,2
2009,2007.0,0,0,0
2043,2011.0,0,1,3
2046,2008.0,0,1,0
2047,2007.0,0,1,0
2053,2013.0,0,1,2
2061,2013.0,0,0,0
2062,2007.0,0,1,0
2072,2013.0,0,0,0
2080,2012.0,0,1,0
2081,2006.0,0,0,0
2088,2010.0,0,1,0
2089,2010.0,0,1,0
2093,2008.0,0,1,0
2094,2013.0,0,0,0
2096,2005.0,0,1,0
2097,2005.0,0,0,0
2098,2009.0,0,0,0
2099,2010.0,0,1,0
2102,2012.0,0,1,0
2120,2011.0,3,0,5
2122,2009.0,0,0,2
2124,2014.0,0,0,2
2125,2014.0,0,1,2
2126,2008.0,0,1,2
2127,2013.0,0,0,2
2128,2008.0,0,0,2
2129,2003.0,0,1,2
2130,2013.0,0,0,2
2131,2010.0,0,0,2
2132,2003.0,4,1,2
2133,2010.0,0,0,2
2134,2006.0,0,0,2
2135,2014.0,0,0,2
2136,2012.0,0,0,2
2137,2014.0,0,0,2
2138,2009.0,0,1,2
2139,2009.0,0,0,2
2140,2009.0,0,1,2
2141,2016.0,0,0,2
2142,2017.0,0,0,2
2143,2005.0,0,2,2
2144,2010.0,0,1,2
2145,2007.0,0,2,2
2146,2005.0,0,0,2
2147,2012.0,0,0,2
2148,2010.0,0,0,2
2149,2009.0,0,0,2
2150,2011.0,3,0,5
2151,2015.0,0,1,2
2152,2009.0,0,1,2
2153,2007.0,0,2,2
2154,2012.0,0,0,2
2155,2011.0,0,0,2
2156,2006.0,0,0,2
2157,2013.0,0,1,2
2159,2011.0,0,0,2
2160,2011.0,0,0,2
2161,2013.0,0,0,2
2162,2010.0,0,1,2
2163,2008.0,0,0,2
2164,2008.0,0,0,2
2165,2010.0,0,1,2
2166,2012.0,0,0,2
2167,2002.0,0,1,2
2168,2012.0,0,1,2
2169,2011.0,0,0,2
2170,2011.0,0,1,2
2172,2016.0,0,1,2
2173,2013.0,3,1,5
2174,2017.0,0,0,0
2175,2006.0,0,2,2
2176,2008.0,0,1,2
2178,2012.0,0,0,2
2179,2010.0,0,0,2
2180,2007.0,0,0,2
2181,2012.0,0,1,2
2182,2011.0,0,0,2
2183,2006.0,0,0,2
2184,1991.0,0,0,2
2185,1990.0,0,0,2
2186,2010.0,0,0,2
2188,2012.0,0,0,2
2189,2011.0,0,0,2
2190,2001.0,0,1,2
2191,2005.0,0,2,2
2192,2009.0,0,0,2
2193,2008.0,0,0,2
2194,2008.0,0,0,2
2195,2001.0,0,2,2
2196,2010.0,0,0,2
2197,2015.0,0,2,2
2198,2010.0,0,0,2
2199,2013.0,0,0,2
